,City,Cloudiness,Country,Date,Humidity,Latitude,Longtitude,Maximum Temperature,Wind Speed
266,Half Moon Bay,75,US,1604709843,87,37.46,-122.43,55.99,6.93
267,Kentau,2,KZ,1604709843,62,43.52,68.51,40.95,3.36
268,Gua Musang,80,MY,1604709843,90,4.88,101.96,76.59,0.96
269,Sambava,100,MG,1604709844,89,-14.27,50.17,71.19,10.09
270,Solnechnyy,100,RU,1604709844,86,50.72,136.63,25.86,2.33
271,Mitsamiouli,0,KM,1604709844,74,-11.38,43.28,78.24,10.11
272,Guerrero Negro,0,MX,1604709844,79,27.98,-114.06,69.21,15.03
273,Moree,0,AU,1604709844,29,-29.47,149.85,77.0,6.93
274,Westport,1,US,1604709844,87,41.14,-73.36,57.2,4.7
275,Lubango,62,AO,1604709844,47,-14.92,13.49,62.28,3.65
276,Berlevåg,0,NO,1604709844,75,70.86,29.09,40.44,31.59
277,Ca Mau,0,VN,1604709597,83,9.18,105.15,81.18,1.19
278,Severo-Yeniseyskiy,100,RU,1604709845,98,60.37,93.04,20.46,7.87
279,Meadow Lake,75,US,1604709845,17,34.8,-106.54,66.2,6.93
280,Vostok,100,RU,1604709845,83,46.49,135.88,36.93,8.75
281,Sisimiut,100,GL,1604709845,83,66.94,-53.67,13.33,10.78
282,Kampong Chhnang,100,KH,1604709845,91,12.17,104.55,76.6,2.59
283,Belyy Yar,0,RU,1604709845,80,53.6,91.39,39.2,8.95
284,Juneau,90,US,1604709845,86,58.3,-134.42,30.0,4.7
285,Hambantota,20,LK,1604709846,100,6.12,81.12,75.2,4.7
286,Ancud,100,CL,1604709846,76,-41.87,-73.82,52.0,6.93
287,Kaitangata,18,NZ,1604709846,74,-46.28,169.85,55.0,15.99
288,Ketchikan,90,US,1604709846,69,55.34,-131.65,39.2,5.82
289,Manaure,81,CO,1604709846,76,11.78,-72.44,81.18,9.8
290,Havre-St-Pierre,90,CA,1604709846,100,50.23,-63.6,33.8,11.41
291,Villa del Rosario,33,CO,1604709846,81,7.83,-72.47,74.17,2.71
292,Dikson,0,RU,1604709833,89,73.51,80.55,-0.35,4.92
293,Kuching,40,MY,1604709847,100,1.55,110.33,77.0,2.24
294,Tiznit Province,0,MA,1604709847,70,29.58,-9.5,61.52,2.15
295,Port Lincoln,24,AU,1604709847,64,-34.73,135.87,60.1,15.61
296,Biak,79,ID,1604709847,63,-0.91,122.88,84.31,4.59
297,Sitka,90,US,1604709847,86,57.05,-135.33,39.2,5.82
298,Sangar,99,RU,1604709847,91,63.92,127.47,-5.6,3.49
299,Bereda,100,ES,1604709847,100,43.27,-7.54,55.0,1.01
300,Broken Hill,0,AU,1604709847,48,-31.95,141.43,62.6,12.75
301,Safi,0,MA,1604709847,83,32.3,-9.24,66.29,21.25
302,Rocha,98,UY,1604709840,95,-34.48,-54.33,57.49,5.93
303,Susanville,75,US,1604709848,65,40.42,-120.65,41.0,5.82
304,Nago,1,JP,1604709848,88,26.59,127.98,80.6,4.7
305,Russell,1,US,1604709848,68,32.35,-85.2,69.8,4.7
306,Flin Flon,90,CA,1604709848,85,54.77,-101.86,17.6,8.05
307,Huarmey,0,PE,1604709848,85,-10.07,-78.15,61.92,5.46
308,Shache,0,CN,1604709848,87,38.42,77.24,29.71,1.36
309,Chaoyang,0,CN,1604709848,42,41.57,120.46,48.99,10.07
310,Cienfuegos,100,CU,1604709658,94,22.15,-80.44,75.2,6.93
311,Namwala,9,ZM,1604709849,37,-15.75,26.44,76.33,3.02
312,Prestea,51,GH,1604709849,97,5.43,-2.14,74.53,2.89
313,Barcelos,75,PT,1604709792,87,41.54,-8.62,57.2,9.17
314,Yangi Marg`ilon,72,UZ,1604709849,34,40.43,71.72,35.6,4.7
315,Kahului,40,US,1604709605,46,20.89,-156.47,89.6,18.34
316,Chimoré,0,BO,1604709849,39,-16.98,-65.13,84.79,3.15
317,Gemeente Zaltbommel,0,NL,1604709849,84,51.8,5.25,42.01,7.72
318,Ortaköy,0,TR,1604709850,80,38.74,34.04,41.0,5.82
319,Bahía Honda,100,CU,1604709850,85,22.9,-83.16,76.01,13.09
320,Sangīn,59,AF,1604709850,38,32.07,64.84,53.13,6.04
321,Awjilah,30,LY,1604709850,66,29.11,21.29,62.55,8.75
322,La Ronge,100,CA,1604709822,79,55.1,-105.28,19.4,9.17
323,Nyurba,99,RU,1604709850,90,63.28,118.33,-4.32,4.9
324,Wangaratta,0,AU,1604709850,34,-36.37,146.33,66.99,12.75
325,Roald,100,NO,1604709850,81,62.58,6.13,51.8,21.92
326,Dzaoudzi,0,YT,1604709850,88,-12.79,45.27,75.2,2.24
327,Kismayo,26,SO,1604709851,81,-0.36,42.55,79.0,9.46
328,Kuusamo,0,FI,1604709851,74,65.97,29.18,37.4,13.87
329,Byron Bay,64,AU,1604709591,60,-28.65,153.62,75.99,13.87
330,Yaan,11,NG,1604709851,60,7.38,8.57,73.74,1.36
331,Harper,100,LR,1604709851,86,4.38,-7.72,77.45,4.45
332,Malanje,100,AO,1604709851,98,-9.54,16.34,63.91,2.53
333,Celestún,80,MX,1604709851,83,20.87,-90.4,78.39,14.58
334,Arman',100,RU,1604709851,86,59.7,150.17,12.25,8.97
335,Ahipara,99,NZ,1604709851,86,-35.17,173.17,67.77,14.72
336,Idanre,39,NG,1604709852,100,7.11,5.12,71.92,1.61
337,Hofn,0,IS,1604709852,76,64.25,-15.21,36.01,11.95
338,Sayaxché,100,GT,1604709852,97,16.52,-90.17,73.17,3.94
339,Gunzenhausen,1,DE,1604709852,100,49.1,10.75,37.99,4.7
340,Hobyo,27,SO,1604709852,79,5.35,48.53,79.75,6.33
341,Rock Springs,1,US,1604709781,28,41.59,-109.2,55.4,19.46
342,Okoneshnikovo,100,RU,1604709852,66,54.84,75.08,42.6,12.46
343,Airai,0,TL,1604709852,33,-8.93,125.41,77.56,6.46
344,Yanam,0,IN,1604709853,77,16.73,82.22,78.01,6.78
345,Evensk,89,RU,1604709820,90,61.95,159.23,14.41,5.7
346,Aykhal,75,RU,1604709853,84,66.0,111.5,-0.4,2.24
347,Morehead,90,US,1604709853,71,37.27,-87.18,59.0,4.5
348,Wah,0,PK,1604709853,53,33.8,72.7,51.8,9.17
349,Río Gallegos,0,AR,1604709853,61,-51.62,-69.22,50.0,21.92
350,Ishigaki,75,JP,1604709853,94,24.34,124.16,80.6,10.29
351,Buala,18,SB,1604709853,65,-8.14,159.59,85.69,3.04
352,Serrinha,3,BR,1604709616,87,-11.66,-39.01,71.64,9.64
353,Cowra,0,AU,1604709853,56,-33.83,148.68,62.01,1.01
354,Kruisfontein,100,ZA,1604709842,94,-34.0,24.73,57.0,1.01
355,Sampit,9,ID,1604709854,62,-2.53,112.95,84.79,2.01
356,Anaconda,1,US,1604709854,65,46.13,-112.94,46.4,4.7
357,Ndélé,68,CF,1604709854,65,8.41,20.65,73.67,3.13
358,Tecolutla,90,MX,1604709854,69,20.48,-97.02,77.0,7.23
359,Kalabo,59,ZM,1604709854,57,-14.97,22.68,74.93,4.21
360,Odobeşti,44,RO,1604709854,70,45.77,27.05,44.69,5.99
361,Namatanai,81,PG,1604709854,65,-3.67,152.43,85.32,8.93
362,Jati,0,PK,1604709854,64,24.35,68.27,70.59,4.38
363,Campbell River,20,CA,1604709778,56,50.02,-125.24,44.6,17.22
364,Abu Samrah,0,SY,1604709855,65,35.3,37.18,58.86,3.51
365,Yichang,0,CN,1604709855,59,30.71,111.28,65.3,3.18
366,Matadi,97,CD,1604709855,85,-5.82,13.45,77.74,2.53
367,Itarema,100,BR,1604709855,78,-2.92,-39.92,80.2,14.79
368,Dehui,0,CN,1604709855,37,44.53,125.7,37.4,6.71
369,Norrtälje,0,SE,1604709855,90,59.76,18.7,50.0,5.99
370,Muisne,56,EC,1604709855,81,0.6,-80.03,74.8,7.14
371,Bonthe,100,SL,1604709855,87,7.53,-12.51,78.67,10.13
372,Isabela,75,PH,1604709855,83,6.71,121.97,82.4,2.24
373,Presidencia Roque Sáenz Peña,0,AR,1604709855,44,-26.79,-60.44,70.61,7.7
374,Prenzlau,97,DE,1604709856,100,53.32,13.87,50.0,5.01
375,Maraã,100,BR,1604709856,98,-1.83,-65.37,74.01,3.13
376,Santa Isabel,90,BR,1604709856,77,-23.32,-46.22,62.6,6.93
377,Ilek,87,RU,1604709856,85,51.53,53.38,41.18,6.96
378,Talnakh,40,RU,1604709856,66,69.49,88.4,10.4,13.42
379,Parkersburg,1,US,1604709727,58,39.27,-81.56,55.4,2.04
380,Cam Ranh,40,VN,1604709856,89,11.92,109.16,84.2,6.93
381,Camacha,20,PT,1604709856,63,33.08,-16.33,66.2,6.93
382,Maningrida,70,AU,1604709856,37,-12.07,134.27,97.34,1.86
383,Kavaratti,20,IN,1604709857,76,10.57,72.64,82.53,7.49
384,Kyabé,0,TD,1604709857,47,9.45,18.94,76.41,3.51
385,Katherine,40,AU,1604709812,46,-14.47,132.27,89.6,12.75
386,Phan Thiet,16,VN,1604709609,81,10.93,108.1,79.9,6.24
387,Lincoln,1,US,1604709805,52,40.8,-96.67,68.0,14.99
388,Chitipa,0,MW,1604709857,63,-9.7,33.27,66.09,7.76
389,Ambulu,3,ID,1604709857,73,-8.35,113.61,81.91,1.03
390,Te Anau,99,NZ,1604709857,57,-45.42,167.72,56.17,5.99
391,Lata,39,PT,1604709854,90,40.16,-8.33,57.99,4.27
392,Kazlų Rūda,92,LT,1604709857,87,54.77,23.5,50.0,10.29
393,San Javier,100,ES,1604709858,72,37.81,-0.84,72.0,2.24
394,Saqqez,100,IR,1604709858,84,36.25,46.27,43.93,2.91
395,Aberdeen,90,GB,1604709858,93,57.14,-2.1,48.2,10.29
396,Bubaque,98,GW,1604709858,78,11.28,-15.83,84.56,15.37
397,Pascagoula,1,US,1604709858,83,30.37,-88.56,69.8,3.36
398,Alofi,40,NU,1604709858,57,-19.06,-169.92,80.6,11.41
399,Brownsville,1,US,1604709834,69,25.9,-97.5,77.0,9.17
400,Borba,88,BR,1604709858,86,-4.39,-59.59,77.13,2.51
401,Swellendam,91,ZA,1604709858,87,-34.02,20.44,51.8,5.82
402,Necochea,99,AR,1604709859,69,-38.55,-58.74,64.0,8.99
403,Qinzhou,0,CN,1604709859,64,21.95,108.62,71.87,17.2
404,Ushibukamachi,100,JP,1604709859,87,32.19,130.02,70.16,3.0
405,Rocky Mount,90,US,1604709706,93,35.94,-77.79,62.6,5.5
406,Kadoshkino,89,RU,1604709859,89,54.03,44.42,36.16,11.7
407,Oliveira dos Brejinhos,100,BR,1604709859,92,-12.32,-42.9,69.98,2.66
408,Çarşamba,75,TR,1604709859,67,41.2,36.72,57.2,8.05
409,Zhigalovo,97,RU,1604709859,91,54.81,105.16,8.22,1.63
410,Omaruru,0,NA,1604709860,54,-21.43,15.93,59.29,2.53
411,Moranbah,96,AU,1604709860,50,-22.0,148.05,84.51,13.58
412,Lázaro Cárdenas,1,MX,1604709860,84,17.96,-102.2,78.62,5.53
413,Belle Fourche,1,US,1604709860,53,44.67,-103.85,59.0,1.5
414,Tucumcari,1,US,1604709829,22,35.17,-103.72,66.2,5.82
415,Ribeira Brava,0,PT,1604709860,67,32.65,-17.07,62.01,2.24
416,Boende,94,CD,1604709860,98,-0.22,20.87,68.81,1.77
417,Kamariótissa,0,GR,1604709861,58,40.48,25.47,59.0,14.99
418,Malinovoye Ozero,62,RU,1604709861,69,51.68,79.78,38.12,7.14
419,Belfast,40,GB,1604709771,100,54.58,-5.93,39.2,4.38
420,Chul'man,100,RU,1604709861,93,56.85,124.91,10.22,4.97
421,Bazarnye Mataki,100,RU,1604709861,93,54.88,49.93,38.64,9.28
422,Baghdad,0,IQ,1604709771,63,33.34,44.4,66.2,5.82
423,Kumul,0,CN,1604709861,61,42.8,93.45,38.7,6.69
424,Zeya,100,RU,1604709861,94,53.75,127.27,23.29,2.46
425,Tra Vinh,0,VN,1604709609,82,9.93,106.35,81.0,2.95
426,North Bend,20,US,1604709862,76,43.41,-124.22,51.8,12.75
427,Quelimane,40,MZ,1604709862,69,-17.88,36.89,80.6,11.41
428,Pangnirtung,100,CA,1604709862,79,66.15,-65.71,13.15,1.16
429,Boffa,100,GN,1604709862,91,10.17,-14.03,77.95,3.13
430,Kiryat Gat,0,IL,1604709862,92,31.61,34.76,62.01,3.02
431,Ahlat,0,TR,1604709862,75,38.75,42.48,41.34,3.06
432,Lorengau,100,PG,1604709862,72,-2.02,147.27,85.32,11.23
433,Mounana,99,GA,1604709862,98,-1.41,13.16,70.34,1.59
434,Novovarshavka,47,RU,1604709862,65,54.17,74.69,41.29,12.53
435,Tooele,1,US,1604709814,26,40.53,-112.3,69.8,14.99
436,Petropavlovsk-Kamchatskiy,40,RU,1604709648,64,53.05,158.65,35.6,4.47
437,Černá Hora,0,CZ,1604709863,93,49.41,16.58,39.99,3.36
438,Wenling,71,CN,1604709863,65,28.37,121.36,73.0,8.63
439,Wewak,76,PG,1604709857,75,-3.55,143.63,82.87,6.71
440,Tabuk,100,PH,1604709863,79,17.42,121.44,79.59,1.81
441,Stryn,100,NO,1604709863,96,61.9,6.72,51.01,1.01
442,Pevek,100,RU,1604709863,95,69.7,170.31,20.37,14.23
443,Gao,0,ML,1604709864,19,16.64,1.64,74.37,13.53
444,Cockburn Town,100,TC,1604709864,77,21.46,-71.14,80.98,21.99
445,Marolambo,63,MG,1604709864,91,-20.05,48.12,66.56,1.88
446,Līsakovsk,100,KZ,1604709864,67,52.54,62.49,39.92,12.17
447,Ozinki,98,RU,1604709864,85,51.18,49.68,41.31,8.39
448,The Valley,20,AI,1604709775,78,18.22,-63.06,80.6,6.93
449,Miranda,40,CO,1604709864,64,3.25,-76.23,75.2,11.41
450,Sept-Îles,100,CA,1604709586,93,50.2,-66.38,35.6,1.12
451,Magadan,100,RU,1604709864,85,59.57,150.8,12.88,11.5
452,Bama,99,NG,1604709864,39,11.52,13.69,70.68,4.68
453,Khani,90,GE,1604709835,93,41.96,42.96,53.6,2.24
454,Umm Hājar,0,TD,1604709865,20,13.3,19.7,75.25,9.55
455,Khovd,0,MN,1604709865,87,48.01,91.64,27.64,0.2
456,San-Pédro,100,CI,1604709865,91,4.75,-6.64,77.11,6.64
457,Kerema,42,PG,1604709865,74,-7.96,145.78,82.89,6.33
458,Talaya,100,RU,1604709865,91,61.38,152.75,4.06,5.32
459,Moussoro,0,TD,1604709865,22,13.64,16.49,74.7,12.62
460,Dire Dawa,4,ET,1604709865,73,9.59,41.87,65.5,4.88
461,Bilibino,100,RU,1604709866,90,68.05,166.44,10.36,8.66
462,Tongliao,0,CN,1604709866,55,43.61,122.27,41.05,6.04
463,Husavik,90,IS,1604709866,55,66.04,-17.34,37.4,16.11
464,Acapulco de Juárez,75,MX,1604709680,74,16.86,-99.89,84.2,9.17
465,Vozrozhdeniye,100,RU,1604709866,84,44.55,38.21,46.99,1.01
466,Viedma,0,AR,1604709866,85,-40.81,-63.0,53.01,1.01
467,Sananduva,0,BR,1604709866,63,-27.95,-51.81,58.69,6.89
468,Alta Floresta,96,BR,1604709625,71,-9.88,-56.09,77.7,4.63
469,Atar,100,MR,1604709866,22,20.52,-13.05,83.93,2.08
470,Olafsvik,75,IS,1604709823,77,64.89,-23.71,37.49,21.81
471,Mühlhausen,0,DE,1604709867,72,51.22,10.45,41.0,2.95
472,João Pinheiro,46,BR,1604709867,68,-17.74,-46.17,72.39,6.64
473,Kununurra,90,AU,1604709867,65,-15.77,128.73,82.4,3.36
474,Bandarbeyla,11,SO,1604709867,82,9.49,50.81,73.35,7.99
475,Nouakchott,100,MR,1604709805,69,18.09,-15.98,77.0,6.93
476,Whitianga,99,NZ,1604709867,68,-36.83,175.7,68.45,13.04
477,Gayéri,20,BF,1604709867,17,12.65,0.49,77.25,7.94
478,Fort Nelson,75,CA,1604709787,78,58.81,-122.7,8.6,5.82
479,Taurianova,0,IT,1604709868,75,38.36,16.01,64.99,1.61
480,Sterling,1,US,1604709868,62,39.01,-77.43,59.0,3.36
481,Miramar,75,US,1604709868,83,25.99,-80.23,80.6,10.29
482,Puieşti,32,RO,1604709868,81,46.42,27.5,48.2,12.75
483,Aras,40,ES,1604709868,82,42.56,-2.36,60.8,18.34
484,Puerto del Rosario,20,ES,1604709868,77,28.5,-13.86,66.2,3.36
485,Whitehorse,20,CA,1604709868,71,60.72,-135.05,5.0,9.17
486,Qaqortoq,75,GL,1604709868,99,60.72,-46.03,32.0,5.82
487,Nampula,0,MZ,1604709869,78,-15.12,39.27,71.6,11.41
488,Moba,100,CN,1604709869,65,33.23,105.02,42.49,3.2
489,Manokwari,100,ID,1604709869,69,-0.87,134.08,85.03,4.7
490,Galesong,0,ID,1604709869,63,-5.32,119.37,84.94,10.27
491,Chapais,90,CA,1604709869,81,49.78,-74.85,42.8,10.29
492,Khrystynivka,100,UA,1604709869,86,48.82,29.97,46.27,10.51
493,Eyl,0,SO,1604709869,70,7.98,49.82,74.39,9.19
494,Gamba,100,GA,1604709870,92,-2.65,10.0,76.86,6.06
495,Aripuanã,0,BR,1604709870,74,-9.17,-60.63,77.94,2.42
496,Cap-aux-Meules,67,CA,1604709870,87,47.38,-61.86,51.8,14.99
497,Medicine Hat,90,CA,1604709870,70,50.05,-110.67,42.8,5.82
498,Rensvik,100,NO,1604709870,76,63.1,7.82,51.8,19.46
499,Wajir,44,KE,1604709870,82,1.75,40.06,76.12,13.47
500,Narasapuram,0,IN,1604709870,84,16.45,81.67,74.01,7.36
501,Moroto,100,UG,1604709870,77,2.53,34.67,67.96,5.59
502,Belaya Gora,50,RU,1604709870,90,68.53,146.42,-10.26,4.27
503,San Juan,42,AR,1604709871,20,-31.54,-68.54,76.87,10.45
504,Konstantinovskoye,90,RU,1604709871,100,45.3,42.64,83.25,17.9
505,Puerto Asís,1,CO,1604709871,77,0.51,-76.5,76.75,0.85
506,Vágur,100,FO,1604709871,86,61.47,-6.81,46.27,16.37
507,Bam,32,IR,1604709871,31,29.11,58.36,59.16,5.84
508,Peace River,75,CA,1604709871,72,56.25,-117.29,10.4,11.41
509,Nabire,100,ID,1604709871,60,-3.37,135.48,86.61,5.01
510,Banda Aceh,100,ID,1604709871,78,5.56,95.32,79.92,4.29
511,Cortes,75,ES,1604709871,72,41.94,-1.44,62.6,25.28
512,Roebourne,0,AU,1604709871,20,-20.78,117.13,90.54,13.13
513,Port Pirie,0,AU,1604709872,59,-33.18,138.02,60.8,11.41
514,Barra de Tecoanapa,72,MX,1604709872,82,16.52,-98.75,80.37,8.57
515,Bongor,0,TD,1604709872,27,10.28,15.37,73.42,6.08
516,Shahr-e Kord,0,IR,1604709872,29,32.33,50.86,50.0,6.93
517,Vredendal,100,ZA,1604709872,76,-31.67,18.5,62.15,14.63
518,Nishihara,1,JP,1604709872,94,26.18,127.76,80.6,5.82
519,Pangai,20,TO,1604709872,65,-19.8,-174.35,80.6,9.17
520,Myaundzha,100,RU,1604709872,88,63.05,147.19,0.37,5.61
521,Caudry,7,FR,1604709873,95,50.12,3.41,45.0,1.99
522,Kalengwa,91,ZM,1604709873,51,-13.47,25.0,71.11,2.39
523,Vulcan,100,RO,1604709873,84,45.38,23.27,42.39,3.96
524,Martapura,0,ID,1604709873,65,-3.42,114.85,85.96,0.74
525,Pacifica,75,US,1604709873,87,37.61,-122.49,55.4,6.93
526,Fare,34,PF,1604709873,76,-16.7,-151.02,80.4,17.11
527,Grand-Lahou,62,CI,1604709873,89,5.14,-5.02,78.89,10.8
528,Batemans Bay,31,AU,1604709873,57,-35.72,150.18,64.0,1.99
529,Gornyak,0,RU,1604709874,78,50.99,81.47,34.86,6.53
530,Tucson,90,US,1604709860,11,32.22,-110.93,88.0,10.29
531,Ulverstone,23,AU,1604709874,52,-41.15,146.17,60.01,11.01
